#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Jul  6 09:38:06 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       xc6slx9.ncd
#OUTPUT FILE:      xc6slx9_par_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
H2,,IOBM,IO_L41P_GCLK27_M3DQ4_3,UNUSED,,3,,,,,,,,,
H3,,IOBS,IO_L44N_GCLK20_M3A6_3,UNUSED,,3,,,,,,,,,
H4,,IOBM,IO_L44P_GCLK21_M3A5_3,UNUSED,,3,,,,,,,,,
H5,,IOBS,IO_L49N_M3A2_3,UNUSED,,3,,,,,,,,,
H6,,IOBM,IO_L49P_M3A7_3,UNUSED,,3,,,,,,,,,
H7,,IOBM,IO_L53P_M3CKE_3,UNUSED,,3,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCINT,,,,,,,,1.2,,,,
H12,,IOBM,IO_L32P_A17_M1A8_1,UNUSED,,1,,,,,,,,,
H13,,IOBM,IO_L36P_A9_M1BA0_1,UNUSED,,1,,,,,,,,,
H14,,IOBS,IO_L36N_A8_M1BA1_1,UNUSED,,1,,,,,,,,,
H15,,IOBM,IO_L37P_A7_M1A0_1,UNUSED,,1,,,,,,,,,
H16,,IOBS,IO_L37N_A6_M1A1_1,UNUSED,,1,,,,,,,,,
H17,,IOBM,IO_L43P_GCLK5_M1DQ4_1,UNUSED,,1,,,,,,,,,
H18,,IOBS,IO_L43N_GCLK4_M1DQ5_1,UNUSED,,1,,,,,,,,,
J1,,IOBS,IO_L40N_M3DQ7_3,UNUSED,,3,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,any******,,,,
J3,,IOBM,IO_L40P_M3DQ6_3,UNUSED,,3,,,,,,,,,
J4,,,GND,,,,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,any******,,,,
J6,,IOBS,IO_L47N_M3A1_3,UNUSED,,3,,,,,,,,,
J7,,IOBM,IO_L47P_M3A0_3,UNUSED,,3,,,,,,,,,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCAUX,,,,,,,,3.3,,,,
J13,,IOBM,IO_L39P_M1A3_1,UNUSED,,1,,,,,,,,,
J14,,,VCCO_1,,,1,,,,,3.30,,,,
J15,,,GND,,,,,,,,,,,,
J16,,IOBM,IO_L44P_A3_M1DQ6_1,UNUSED,,1,,,,,,,,,
J17,,,VCCO_1,,,1,,,,,3.30,,,,
J18,,IOBS,IO_L44N_A2_M1DQ7_1,UNUSED,,1,,,,,,,,,
K1,,IOBS,IO_L38N_M3DQ3_3,UNUSED,,3,,,,,,,,,
K2,,IOBM,IO_L38P_M3DQ2_3,UNUSED,,3,,,,,,,,,
K3,,IOBS,IO_L42N_GCLK24_M3LDM_3,UNUSED,,3,,,,,,,,,
K4,,IOBM,IO_L42P_GCLK25_TRDY2_M3UDM_3,UNUSED,,3,,,,,,,,,
K5,,IOBS,IO_L43N_GCLK22_IRDY2_M3CASN_3,UNUSED,,3,,,,,,,,,
K6,,IOBS,IO_L45N_M3ODT_3,UNUSED,,3,,,,,,,,,
K7,,,VCCAUX,,,,,,,,3.3,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,IOBM,IO_L34P_A13_M1WE_1,UNUSED,,1,,,,,,,,,
K13,,IOBS,IO_L34N_A12_M1BA2_1,UNUSED,,1,,,,,,,,,
K14,,IOBS,IO_L39N_M1ODT_1,UNUSED,,1,,,,,,,,,
K15,,IOBM,IO_L41P_GCLK9_IRDY1_M1RASN_1,UNUSED,,1,,,,,,,,,
K16,,IOBS,IO_L41N_GCLK8_M1CASN_1,UNUSED,,1,,,,,,,,,
K17,btn_k2,IOB,IO_L45P_A1_M1LDQS_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
K18,,IOBS,IO_L45N_A0_M1LDQSN_1,UNUSED,,1,,,,,,,,,
L1,,IOBS,IO_L37N_M3DQ1_3,UNUSED,,3,,,,,,,,,
L2,,IOBM,IO_L37P_M3DQ0_3,UNUSED,,3,,,,,,,,,
L3,,IOBS,IO_L39N_M3LDQSN_3,UNUSED,,3,,,,,,,,,
L4,,IOBM,IO_L39P_M3LDQS_3,UNUSED,,3,,,,,,,,,
L5,,IOBM,IO_L43P_GCLK23_M3RASN_3,UNUSED,,3,,,,,,,,,
L6,,IOBM,IO_L31P_3,UNUSED,,3,,,,,,,,,
L7,,IOBM,IO_L45P_M3A3_3,UNUSED,,3,,,,,,,,,
L8,,,VCCINT,,,,,,,,1.2,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,IOBM,IO_L40P_GCLK11_M1A5_1,UNUSED,,1,,,,,,,,,
L13,,IOBS,IO_L40N_GCLK10_M1A6_1,UNUSED,,1,,,,,,,,,
L14,,IOBM,IO_L61P_1,UNUSED,,1,,,,,,,,,
L15,,IOBM,IO_L42P_GCLK7_M1UDM_1,UNUSED,,1,,,,,,,,,
L16,,IOBS,IO_L42N_GCLK6_TRDY1_M1LDM_1,UNUSED,,1,,,,,,,,,
L17,btn_k3,IOB,IO_L46P_FCS_B_M1DQ2_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
L18,,IOBS,IO_L46N_FOE_B_M1DQ3_1,UNUSED,,1,,,,,,,,,
M1,,IOBS,IO_L36N_M3DQ9_3,UNUSED,,3,,,,,,,,,
M2,,,GND,,,,,,,,,,,,
M3,,IOBM,IO_L36P_M3DQ8_3,UNUSED,,3,,,,,,,,,
M4,,,VCCO_3,,,3,,,,,any******,,,,
M5,,IOBS,IO_L31N_VREF_3,UNUSED,,3,,,,,,,,,
M6,,,GND,,,,,,,,,,,,
M7,,,VCCINT,,,,,,,,1.2,,,,
M8,,,NC,,,,,,,,,,,,
M9,,,VCCAUX,,,,,,,,3.3,,,,
M10,,,NC,,,,,,,,,,,,
M11,,,NC,,,,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,,IOBS,IO_L61N_1,UNUSED,,1,,,,,,,,,
M14,,IOBM,IO_L53P_1,UNUSED,,1,,,,,,,,,
M15,,,VCCO_1,,,1,,,,,3.30,,,,
M16,,IOBM,IO_L47P_FWE_B_M1DQ0_1,UNUSED,,1,,,,,,,,,
M17,,,GND,,,,,,,,,,,,
M18,,IOBS,IO_L47N_LDC_M1DQ1_1,UNUSED,,1,,,,,,,,,
N1,,IOBS,IO_L35N_M3DQ11_3,UNUSED,,3,,,,,,,,,
N2,,IOBM,IO_L35P_M3DQ10_3,UNUSED,,3,,,,,,,,,
N3,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
N4,,IOBM,IO_L1P_3,UNUSED,,3,,,,,,,,,
N5,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
N6,,,NC,,,,,,,,,,,,
N7,,,NC,,,,,,,,,,,,
N8,,,NC,,,,,,,,,,,,
N9,,,NC,,,,,,,,,,,,
N10,,,NC,,,,,,,,,,,,
N11,,,NC,,,,,,,,,,,,
N12,gpio<8>,IOB,IO_L13P_M1_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
N13,,,GND,,,,,,,,,,,,
N14,,IOBS,IO_L53N_VREF_1,UNUSED,,1,,,,,,,,,
N15,led<5>,IOB,IO_L50P_M1UDQS_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
N16,led<4>,IOB,IO_L50N_M1UDQSN_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
N17,,IOBM,IO_L48P_HDC_M1DQ8_1,UNUSED,,1,,,,,,,,,
N18,,IOBS,IO_L48N_M1DQ9_1,UNUSED,,1,,,,,,,,,
P1,,IOBS,IO_L34N_M3UDQSN_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L34P_M3UDQS_3,UNUSED,,3,,,,,,,,,
P3,,IOBS,IO_L2N_3,UNUSED,,3,,,,,,,,,
P4,,IOBM,IO_L2P_3,UNUSED,,3,,,,,,,,,
P5,,,VCCAUX,,,,,,,,3.3,,,,
P6,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
P7,,,NC,,,,,,,,,,,,
P8,,,NC,,,,,,,,,,,,
P9,,,VCCO_2,,,2,,,,,2.50,,,,
P10,,,VCCAUX,,,,,,,,3.3,,,,
P11,,,NC,,,,,,,,,,,,
P12,gpio<9>,IOB,IO_L13N_D10_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P13,,,CMPCS_B_2,,,,,,,,,,,,
P14,,,VCCAUX,,,,,,,,3.3,,,,
P15,led<7>,IOB,IO_L74P_AWAKE_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P16,led<6>,IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P17,,IOBM,IO_L49P_M1DQ10_1,UNUSED,,1,,,,,,,,,
P18,,IOBS,IO_L49N_M1DQ11_1,UNUSED,,1,,,,,,,,,
R1,,,GND,,,,,,,,,,,,
R2,,,VCCO_3,,,3,,,,,any******,,,,
R3,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
R4,,,GND,,,,,,,,,,,,
R5,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
R6,,,VCCO_2,,,2,,,,,2.50,,,,
R7,gpio<25>,IOB,IO_L46P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
R8,gpio<16>,IOB,IO_L31P_GCLK31_D14_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
R9,,,GND,,,,,,,,,,,,
R10,gpio<27>,IOB,IO_L29P_GCLK3_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
R11,gpio<14>,IOB,IO_L16P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
R12,,,VCCO_2,,,2,,,,,2.50,,,,
R13,gpio<4>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,gpio<0>,IOB,IO_L1P_CCLK_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
R16,,,SUSPEND,,,,,,,,,,,,
R17,,,VCCO_1,,,1,,,,,3.30,,,,
R18,,,GND,,,,,,,,,,,,
T1,,IOBS,IO_L33N_M3DQ13_3,UNUSED,,3,,,,,,,,,
T2,,IOBM,IO_L33P_M3DQ12_3,UNUSED,,3,,,,,,,,,
T3,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
T4,,IOBM,IO_L63P_2,UNUSED,,2,,,,,,,,,
T5,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
T6,gpio<19>,IOB,IO_L45P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T7,gpio<30>,IOB,IO_L46N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T8,gpio<20>,IOB,IO_L31N_GCLK30_D15_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T9,gpio<21>,IOB,IO_L32P_GCLK29_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T10,gpio<17>,IOB,IO_L29N_GCLK2_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T11,gpio<15>,IOB,IO_L16N_VREF_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T12,,,NC,,,,,,,,,,,,
T13,gpio<5>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T14,gpio<6>,IOB,IO_L12P_D1_MISO2_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T15,gpio<1>,IOB,IO_L1N_M0_CMPMISO_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
T16,,,GND,,,,,,,,,,,,
T17,led<1>,IOB,IO_L51P_M1DQ12_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
T18,led<0>,IOB,IO_L51N_M1DQ13_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
U1,,IOBS,IO_L32N_M3DQ15_3,UNUSED,,3,,,,,,,,,
U2,,IOBM,IO_L32P_M3DQ14_3,UNUSED,,3,,,,,,,,,
U3,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
U4,,,VCCO_2,,,2,,,,,2.50,,,,
U5,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
U6,,,GND,,,,,,,,,,,,
U7,gpio<23>,IOB,IO_L43P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
U8,gpio<29>,IOB,IO_L41P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
U9,,,VCCO_2,,,2,,,,,2.50,,,,
U10,gpio<18>,IOB,IO_L30P_GCLK1_D13_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
U11,gpio<12>,IOB,IO_L23P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
U12,,,GND,,,,,,,,,,,,
U13,gpio<10>,IOB,IO_L14P_D11_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
U14,,,VCCO_2,,,2,,,,,2.50,,,,
U15,,,NC,,,,,,,,,,,,
U16,gpio<2>,IOB,IO_L2P_CMPCLK_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
U17,led<3>,IOB,IO_L52P_M1DQ14_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
U18,led<2>,IOB,IO_L52N_M1DQ15_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,,,PROGRAM_B_2,,,,,,,,,,,,
V3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
V4,,IOBS,IO_L63N_2,UNUSED,,2,,,,,,,,,
V5,gpio<31>,IOB,IO_L49N_D4_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V6,gpio<24>,IOB,IO_L45N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V7,gpio<28>,IOB,IO_L43N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V8,gpio<26>,IOB,IO_L41N_VREF_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V9,gpio<22>,IOB,IO_L32N_GCLK28_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V10,clk_25m,IOB,IO_L30N_GCLK0_USERCCLK_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
V11,gpio<13>,IOB,IO_L23N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V12,,,NC,,,,,,,,,,,,
V13,gpio<11>,IOB,IO_L14N_D12_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V14,gpio<7>,IOB,IO_L12N_D2_MISO3_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V15,,,NC,,,,,,,,,,,,
V16,gpio<3>,IOB,IO_L2N_CMPMOSI_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
V17,,,DONE_2,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
